Model,Train Accuracy,Train AUC,Train Sensitivity,Train Specificity,Train MCC,Train Kappa,Test Accuracy,Test AUC,Test Sensitivity,Test Specificity,Test MCC,Test Kappa
Random Forest,0.5384353741496598,0.7825551513051513,0.5384353741496598,0.5513998499832834,0.3898223962433108,0.38456745576655255,0.5081967213114754,0.7638888888888888,0.5081967213114754,0.5178346243920015,0.3449525823849972,0.34408602150537626
SVM,0.5674319727891156,0.7951569357819357,0.5674319727891156,0.5707343549307835,0.4261154378130114,0.42330111768126405,0.5573770491803278,0.7796497584541062,0.5573770491803278,0.5421924925807583,0.41007459549144726,0.4090419806243273
Extra Trees,0.5760204081632654,0.8160795410795411,0.5760204081632654,0.5808518397105937,0.4416153280582778,0.43504971964620304,0.5081967213114754,0.7708937198067632,0.5081967213114754,0.513612412177986,0.3442094161736805,0.34408602150537637
XGBoost,0.5059523809523809,0.7378623816123816,0.5059523809523809,0.5013105601881113,0.34335971393466025,0.3412347694036384,0.5081967213114754,0.7059329710144928,0.5081967213114754,0.4964672502039908,0.34422146031319323,0.3438508425959125
KNN,0.4892857142857143,0.7314275814275815,0.4892857142857143,0.4854594658376171,0.32510636741557136,0.3197472381115315,0.45901639344262296,0.6925573671497585,0.45901639344262296,0.44430935759667417,0.28024611704262625,0.27771797631862216
LightGBM,0.5226190476190476,0.7663562601062601,0.5226190476190476,0.5216889006684925,0.36602687086332314,0.3634233290335735,0.45901639344262296,0.7279438405797101,0.45901639344262296,0.46093796913469043,0.27919599636785714,0.27849462365591393
Gradient Boosting,0.4773809523809523,0.7235406079156078,0.4773809523809523,0.4759511055241452,0.30818965492707934,0.30388701391079154,0.36065573770491804,0.6272493961352656,0.36065573770491804,0.3840749414519906,0.14926428209340026,0.14792263610315182
Naive Bayes,0.3001700680272109,0.6196583602833603,0.3001700680272109,0.29658352448363184,0.07905617577624607,0.06927901278130846,0.2459016393442623,0.561141304347826,0.2459016393442623,0.23794114652275739,-0.009500293411592656,-0.008989572096368192
MLP,0.5428571428571429,0.7571138446138447,0.5428571428571429,0.5461765453328921,0.3951358587251493,0.39037649264739105,0.4918032786885246,0.7347826086956522,0.4918032786885246,0.4828812025241503,0.32441927761006867,0.32149264442052394
